team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Puerto Rico FC,Puerto Rico,2024,Puerto Rico,2,0,2,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,131,1,1,0,2,0,2,0,1,0,1,0,0,180,0,180,180,0,180,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0,0.5,1,0,1,0.5,0,0.5,0.5,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,1,1,2,2,2,2,50,50,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,50,50,100,100,100,100,0,0,0,0,0,0,50,50,100,100,100,100,1,1,0,0,0,0,1,1,0,50,50,0,0,0,0,50,50,0,0,0,0,0,50,0,50,50,0,50,50,0,50,0,0,0,1,0,1,50,0,50,1,0,1,50,0,50,1,0,1,50,0,50,0,0,0,100,0,100,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0
Finland National Team,Finland,2024,Finland,3,1,2,0,1,1,0,1,0,1,1,0,1,1.33,3,0.5,0,0,0,86,6,7,-1,13,3,10,2,4,1,6,1,-2,45,45,45,39,90,30,0,0,0,3,1,2,0,0,0,1,1,0,10,8,2,2,1,1,41,62,31,16,8,8,10,4,6,6,4,2,36,16,20,2,2,0,2,0,2,0,2,-2,1,1,0,1,0,1,1,0,1,1.33,3,0.5,4.33,3,5,2,2,2,2.33,1,3,1.33,2,1,0.67,2,0,0.67,0,1,3,3,3,2,1,1,1,1,1,0,0,0,2,2,2,2,1,1,0,0,0,1,2,2,0,0,0,1,1,1,0,0,0,0,1,1,100,100,100,67,33,33,100,100,100,0,0,0,100,100,100,100,50,50,0,0,0,33,67,67,0,0,0,100,100,100,0,0,0,0,50,50,2,2,0,1,1,0,1,1,0,67,67,0,100,100,0,50,50,0,33,100,0,29,0,0,0,100,100,100,0,0,0,33,100,0,2,1,1,67,100,50,2,0,2,67,0,100,0,0,0,0,0,0,33,100,0,33,0,50,33,0,50,3.33,8.00,1.00,0.67,1,0.50,100,67,67,33,33,0,0,0,0.81,1.25,0.59,1.89,1.13,2.28,133,0,0,1,1,0,0,0,3,1,0,1,0,0,1,3,1,0,1,33,0,50,33,0,50,0
Iceland National Team,Iceland,2024,Iceland,4,0,4,0,3,0,3,0,0,0,1,0,1,2.25,0,2.25,0,0,0,29,4,4,0,8,0,8,0,4,0,4,0,0,90,0,90,90,0,90,3,0,3,0,0,0,1,0,1,3,0,3,15,0,15,5,0,5,38,0,38,23,0,23,15,0,15,8,0,8,51,0,51,1,0,1,1,0,1,0,0,0,1,0,1,2,0,2,1,0,1,1.25,0,1.25,2,0,2,1,0,1,1,0,1,0.5,0,0.5,0.25,0,0.25,0.25,0,0.25,4,2,1,1,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,2,3,3,4,4,0,0,0,0,0,0,0,2,3,3,4,4,100,50,25,25,0,0,0,0,0,0,0,0,100,50,25,25,0,0,0,50,75,75,100,100,0,0,0,0,0,0,0,50,75,75,100,100,2,0,0,0,0,0,2,0,0,50,0,0,0,0,0,50,0,0,75,0,75,0,75,0,75,0,0,0,25,0,25,75,0,75,3,0,3,75,0,75,3,0,3,75,0,75,0,0,0,0,0,0,25,0,25,50,0,50,25,0,25,3.75,0.00,3.75,1.25,0,1.25,75,75,75,75,50,50,0,0,0.68,0.00,0.93,1.29,0.00,1.54,25,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,25,0,25,0
Gibraltar National Team,Gibraltar,2024,Gibraltar,4,4,0,0,1,1,0,2,2,0,1,1,0,1.25,1.25,0,0,0,0,72,2,3,-1,5,5,0,2,0,3,0,-1,0,180,180,0,120,120,0,2,2,0,1,1,0,2,2,0,1,1,0,10,10,0,5,5,0,33,33,0,14,14,0,5,5,0,9,9,0,39,39,0,1,1,0,1,1,0,0,0,0,1,1,0,2,2,0,1,1,0,1.25,1.25,0,1.25,1.25,0,0.5,0.5,0,0.75,0.75,0,0.5,0.5,0,0.25,0.25,0,0.25,0.25,0,3,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,1,2,4,4,4,4,0,0,0,0,0,0,75,50,0,0,0,0,75,50,0,0,0,0,0,0,0,0,0,0,25,50,100,100,100,100,25,50,100,100,100,100,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,50,0,0,50,0,0,0,0,0,25,25,0,0,50,50,0,25,25,0,50,50,0,25,25,0,3,3,0,75,75,0,3,3,0,75,75,0,0,0,0,0,0,0,25,25,0,50,50,0,25,25,0,2.50,2.50,0.00,1.25,1.25,0.00,100,100,75,75,75,50,25,25,0.32,0.57,0.00,1.61,1.86,0.00,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,50,50,0,25,25,0,25
Belarus National Team,Belarus,2024,Belarus,4,3,1,0,0,0,0,1,0,1,3,3,0,0.25,0,1,0,0,0,147,0,10,-10,10,10,0,0,0,10,0,-10,0,0,0,0,36,27,0,1,0,1,0,0,0,4,3,1,0,0,0,7,5,2,6,4,2,46,43,55,22,17,5,8,7,1,14,10,4,59,43,16,0,0,0,7,7,0,-7,-7,0,0,0,0,1,0,1,3,3,0,0.25,0,1,2.5,3.33,0,0,0,0,2.5,3.33,0,1.75,2.33,0,0,0,0,1.75,2.33,0,3,3,2,2,0,0,3,3,2,2,0,0,0,0,0,0,0,0,1,1,2,2,4,4,0,0,1,1,3,3,1,1,1,1,1,1,75,75,50,50,0,0,100,100,67,67,0,0,0,0,0,0,0,0,25,25,50,50,100,100,0,0,33,33,100,100,100,100,100,100,100,100,3,3,1,3,3,1,0,0,0,75,75,25,100,100,33,0,0,0,0,0,0,-17,25,0,100,0,0,0,100,100,100,0,0,0,1,0,1,25,0,100,4,3,1,100,100,100,0,0,0,0,0,0,0,0,0,25,0,100,75,100,0,1.75,1.67,2.00,1.5,1.33,2.00,25,0,0,0,0,0,0,0,0.64,0.68,0.55,1.54,1.59,1.45,25,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,2,0,1,25,0,100,75,100,0,0
Czech Republic National Team,Czech Republic,2024,Czech Republic,4,3,1,0,4,3,1,0,0,0,0,0,0,3,3,3,0,0,0,6,13,4,9,17,14,3,11,2,3,1,8,1,28,25,45,90,90,90,0,0,0,4,3,1,0,0,0,2,2,0,23,18,5,6,6,0,55,60,41,62,54,8,28,23,5,34,31,3,57,46,11,4,3,1,2,1,1,2,2,0,1,1,0,3,2,1,0,0,0,1.5,1.67,1,4.25,4.67,3,3.25,3.67,2,1,1,1,1.5,1.33,2,1,1,1,0.5,0.33,1,4,4,4,1,1,1,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,3,3,3,0,0,0,2,2,2,0,0,0,1,1,1,100,100,100,25,25,25,100,100,100,33,33,33,100,100,100,0,0,0,0,0,0,75,75,75,0,0,0,67,67,67,0,0,0,100,100,100,3,3,0,2,2,0,1,1,0,75,75,0,67,67,0,100,100,0,100,100,100,0,0,0,0,100,100,100,0,0,0,50,67,0,2,2,0,50,67,0,1,1,0,25,33,0,2,1,1,50,33,100,25,33,0,75,67,100,0,0,0,5.75,6.00,5.00,1.5,2,0.00,75,75,75,25,0,0,0,0,1.95,2.22,1.16,0.75,0.63,1.10,100,1,0,0,1,3,2,0,2,4,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Montenegro National Team,Montenegro,2024,Montenegro,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,0,0,0,55,4,5,-1,9,5,4,2,2,3,2,-1,0,90,90,90,72,60,90,2,1,1,1,1,0,1,0,1,2,1,1,16,7,9,7,4,3,46,47,45,34,15,19,10,4,6,24,11,13,50,28,22,3,1,2,3,2,1,0,-1,1,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,2.25,2.5,2,1,1,1,1.25,1.5,1,1.5,1.5,1.5,0.75,0.5,1,0.75,1,0.5,4,3,1,1,0,0,2,1,1,1,0,0,2,2,0,0,0,0,0,1,3,3,4,4,0,1,1,1,2,2,0,0,2,2,2,2,100,75,25,25,0,0,100,50,50,50,0,0,100,100,0,0,0,0,0,25,75,75,100,100,0,50,50,50,100,100,0,0,100,100,100,100,4,2,0,2,1,0,2,1,0,100,50,0,100,50,0,100,50,0,50,50,50,-10,50,50,50,25,50,0,25,0,50,50,50,50,2,1,1,50,50,50,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,0,0,0,50,50,50,4.00,3.50,4.50,1.75,2,1.50,50,50,50,50,25,25,25,25,0.96,1.06,0.75,1.78,1.64,2.04,25,0,0,1,0,2,0,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,50,50,50,0
Switzerland National Team,Switzerland,2024,Switzerland,4,2,2,0,2,1,1,2,1,1,0,0,0,2,2,2,0,0,0,33,6,1,5,7,6,1,5,1,1,0,4,1,60,36,180,360,180,0,3,1,2,1,1,0,1,0,1,2,1,1,13,7,6,7,2,5,58,63,52,26,15,11,16,11,5,10,4,6,40,18,22,3,2,1,1,1,0,2,1,1,2,1,1,2,1,1,0,0,0,2,2,2,1.75,3,0.5,1.5,2.5,0.5,0.25,0.5,0,1,1.5,0.5,0.75,1,0.5,0.25,0.5,0,3,2,1,1,0,0,2,2,1,1,0,0,1,0,0,0,0,0,1,2,3,3,4,4,0,0,1,1,2,2,1,2,2,2,2,2,75,50,25,25,0,0,100,100,50,50,0,0,50,0,0,0,0,0,25,50,75,75,100,100,0,0,50,50,100,100,50,100,100,100,100,100,3,1,0,2,1,0,1,0,0,75,25,0,100,50,0,50,0,0,50,50,50,-17,75,50,100,25,50,0,25,0,50,50,50,50,3,1,2,75,50,100,1,0,1,25,0,50,1,1,0,25,50,0,50,50,50,50,50,50,0,0,0,3.25,3.50,3.00,1.75,1,2.50,75,25,0,0,0,0,0,0,1.07,1.30,0.84,0.82,0.80,0.84,50,0,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,50,50,50,0,0,0,0
Serbia National Team,Serbia,2024,Serbia,4,0,4,0,2,0,2,0,0,0,2,0,2,1.5,0,1.5,0,0,0,52,5,6,-1,11,0,11,0,5,0,6,0,-1,72,0,72,60,0,60,2,0,2,1,0,1,1,0,1,2,0,2,10,0,10,7,0,7,52,0,52,28,0,28,12,0,12,16,0,16,48,0,48,3,0,3,4,0,4,-1,0,-1,2,0,2,0,0,0,2,0,2,1.5,0,1.5,2.75,0,2.75,1.25,0,1.25,1.5,0,1.5,1.75,0,1.75,0.75,0,0.75,1,0,1,4,3,3,1,0,0,0,0,0,0,0,0,4,3,3,1,0,0,0,1,1,3,4,4,0,0,0,0,0,0,0,1,1,3,4,4,100,75,75,25,0,0,0,0,0,0,0,0,100,75,75,25,0,0,0,25,25,75,100,100,0,0,0,0,0,0,0,25,25,75,100,100,4,2,1,0,0,0,4,2,1,100,50,25,0,0,0,100,50,25,50,0,50,0,50,0,50,25,0,25,25,0,25,50,0,50,2,0,2,50,0,50,1,0,1,25,0,25,1,0,1,25,0,25,50,0,50,0,0,0,50,0,50,2.50,0.00,2.50,1.75,0,1.75,100,75,50,25,0,0,0,0,0.67,0.00,0.92,1.11,0.00,1.36,50,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,50,0,50,0
Andorra National Team,Andorra,2024,Andorra,6,2,4,0,1,1,0,1,1,0,4,0,4,0.67,2,0,0,0,0,76,3,10,-7,13,4,9,3,0,1,9,2,-9,180,60,0,54,180,40,1,1,0,1,1,0,4,0,4,2,2,0,17,2,15,10,3,7,35,35,35,36,14,22,14,7,7,22,7,15,81,38,43,3,3,0,6,1,5,-3,2,-5,1,1,0,1,1,0,4,0,4,0.67,2,0,2.17,2,2.25,0.5,1.5,0,1.67,0.5,2.25,1.5,2,1.25,0.5,1.5,0,1,0.5,1.25,6,4,1,1,1,0,2,2,0,0,0,0,4,2,1,1,1,0,0,2,5,5,5,6,0,0,2,2,2,2,0,2,3,3,3,4,100,67,17,17,17,0,100,100,0,0,0,0,100,50,25,25,25,0,0,33,83,83,83,100,0,0,100,100,100,100,0,50,75,75,75,100,6,3,0,2,2,0,4,1,0,100,50,0,100,100,0,100,25,0,17,50,0,135,17,50,0,17,50,0,67,0,100,33,100,0,1,1,0,17,50,0,4,0,4,67,0,100,1,1,0,17,50,0,17,50,0,17,50,0,67,0,100,2.83,1.00,3.75,1.67,1.5,1.75,67,67,50,33,33,17,0,0,0.91,1.05,0.85,1.46,1.22,1.57,50,2,0,0,1,0,0,0,0,0,0,3,3,0,0,1,1,1,1,17,50,0,67,0,100,0
