team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
San Marino National Team,San Marino,2024/2025,San Marino,4,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,1,0,0,31,5,3,2,8,3,5,2,3,1,2,1,1,72,90,60,120,180,90,1,1,0,2,1,1,1,0,1,1,1,0,16,3,13,18,7,11,48,50,47,37,15,22,14,7,7,23,8,15,65,32,33,0,0,0,2,1,1,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,2,1.5,2.5,1.25,1,1.5,0.75,0.5,1,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,4,2,1,1,0,0,2,1,0,0,0,0,2,1,1,1,0,0,0,2,3,3,4,4,0,1,2,2,2,2,0,1,1,1,2,2,100,50,25,25,0,0,100,50,0,0,0,0,100,50,50,50,0,0,0,50,75,75,100,100,0,50,100,100,100,100,0,50,50,50,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,50,50,50,7,25,50,0,50,50,50,25,0,50,25,50,0,2,1,1,50,50,50,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,4.00,1.50,6.50,4.5,3.5,5.50,50,50,50,50,25,25,25,0,1.11,0.98,1.24,0.92,0.78,1.07,50,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,25,50,0,25,0,50,0
FYR Macedonia National Team,FYR Macedonia,2024/2025,FYR Macedonia,6,3,3,0,5,3,2,1,0,1,0,0,0,2.67,3,2.33,1,0,0,9,10,1,9,11,4,7,4,6,0,1,4,5,54,68,45,529,0,273,5,3,2,1,0,1,0,0,0,5,3,2,21,11,10,19,13,6,55,56,54,56,31,25,28,13,15,28,18,10,55,26,29,1,0,1,1,0,1,0,0,0,1,0,1,4,3,1,1,0,1,1.17,1,1.33,1.83,1.33,2.33,1.67,1.33,2,0.17,0,0.33,0.33,0,0.67,0.17,0,0.33,0.17,0,0.33,6,4,1,0,0,0,3,1,0,0,0,0,3,3,1,0,0,0,0,2,5,6,6,6,0,2,3,3,3,3,0,0,2,3,3,3,100,67,17,0,0,0,100,33,0,0,0,0,100,100,33,0,0,0,0,33,83,100,100,100,0,67,100,100,100,100,0,0,67,100,100,100,2,0,0,0,0,0,2,0,0,33,0,0,0,0,0,67,0,0,83,100,67,40,83,100,67,17,0,33,0,0,0,83,100,67,5,3,2,83,100,67,5,3,2,83,100,67,0,0,0,0,0,0,17,0,33,67,100,33,17,0,33,3.50,3.67,3.33,3.17,4.33,2.00,83,33,17,0,0,0,0,0,1.25,1.31,1.19,1.02,0.94,1.10,17,0,0,0,1,1,1,3,2,2,1,0,0,0,0,0,0,0,0,17,0,33,0,0,0,0
Georgia National Team,Georgia,2024/2025,Georgia,8,4,4,0,4,2,2,1,1,0,3,1,2,1.63,1.75,1.5,3,0,0,14,16,7,9,23,15,8,11,5,4,3,7,2,45,33,72,102,90,120,2,0,2,4,3,1,2,1,1,4,2,2,44,24,20,18,7,11,58,58,59,83,49,34,38,21,17,45,28,17,90,47,43,8,6,2,4,1,3,4,5,-1,3,2,1,2,1,1,3,1,2,1.38,1.75,1,2.88,3.75,2,2,2.75,1.25,0.88,1,0.75,1.5,1.75,1.25,1,1.5,0.5,0.5,0.25,0.75,8,5,4,2,2,1,4,3,2,2,2,1,4,2,2,0,0,0,0,3,4,6,6,7,0,1,2,2,2,3,0,2,2,4,4,4,100,63,50,25,25,13,100,75,50,50,50,25,100,50,50,0,0,0,0,37,50,75,75,87,0,25,50,50,50,75,0,50,50,100,100,100,6,3,1,3,1,1,3,2,0,75,38,13,75,25,25,75,50,0,50,50,50,12,25,0,50,50,75,25,25,25,25,50,50,50,5,3,2,63,75,50,5,2,3,63,50,75,0,0,0,0,0,0,38,50,25,25,25,25,38,25,50,5.50,6.00,5.00,2.25,1.75,2.75,75,63,63,63,38,38,25,25,1.36,1.54,1.18,0.96,0.95,0.96,113,1,1,2,4,0,3,3,2,0,2,0,1,1,2,0,0,1,0,13,25,0,38,25,50,13
Spain National Team,Spain,2024/2025,Spain,10,5,5,0,6,4,2,4,1,3,0,0,0,2.2,2.6,1.8,1,0,0,1,25,15,10,40,24,16,15,10,9,6,6,4,36,30,45,60,50,75,3,2,1,7,3,4,1,0,1,9,5,4,52,25,27,25,8,17,57,57,56,162,95,67,72,43,29,90,52,38,127,63,64,11,5,6,3,0,3,8,5,3,7,4,3,3,1,2,0,0,0,2.4,2.6,2.2,4,4.8,3.2,2.5,3,2,1.5,1.8,1.2,1.4,1,1.8,1.1,1,1.2,0.3,0,0.6,9,8,8,6,4,2,5,4,4,3,3,2,4,4,4,3,1,0,1,2,2,4,6,8,0,1,1,2,2,3,1,1,1,2,4,5,90,80,80,60,40,20,100,80,80,60,60,40,80,80,80,60,20,0,10,20,20,40,60,80,0,20,20,40,40,60,20,20,20,40,80,100,8,4,2,4,1,0,4,3,2,80,40,20,80,20,0,80,60,40,60,80,40,0,30,40,20,70,60,80,10,0,20,90,100,80,7,5,2,70,100,40,2,1,1,20,20,20,3,0,3,30,0,60,70,80,60,30,20,40,0,0,0,5.20,5.00,5.40,2.5,1.6,3.40,80,70,50,50,30,20,10,10,1.94,2.23,1.64,1.15,1.24,1.06,130,4,2,3,1,1,3,4,4,2,0,0,2,0,2,2,2,2,4,40,20,60,0,0,0,0
Luxembourg National Team,Luxembourg,2024/2025,Luxembourg,6,3,3,0,0,0,0,3,1,2,3,2,1,0.5,0.33,0.67,4,0,0,46,3,7,-4,10,6,4,2,1,4,3,-2,-2,180,134,273,77,68,90,1,0,1,2,1,1,4,2,2,0,0,0,21,14,7,20,7,13,59,60,58,42,25,17,13,8,5,29,17,12,107,51,56,0,0,0,4,2,2,-4,-2,-2,0,0,0,3,1,2,3,2,1,0.5,0.33,0.67,1.67,2,1.33,0.5,0.67,0.33,1.17,1.33,1,0.67,0.67,0.67,0,0,0,0.67,0.67,0.67,5,3,1,1,0,0,3,1,1,1,0,0,2,2,0,0,0,0,1,3,5,5,6,6,0,2,2,2,3,3,1,1,3,3,3,3,83,50,17,17,0,0,100,33,33,33,0,0,67,67,0,0,0,0,17,50,83,83,100,100,0,67,67,67,100,100,33,33,100,100,100,100,3,1,0,2,0,0,1,1,0,50,17,0,67,0,0,33,33,0,0,0,0,10,17,0,33,33,33,33,67,67,67,0,0,0,3,1,2,50,33,67,6,3,3,100,100,100,0,0,0,0,0,0,0,0,0,50,33,67,50,67,33,3.50,4.67,2.33,3.33,2.33,4.33,83,67,50,33,33,33,0,0,0.94,1.13,0.75,1.10,1.05,1.14,50,0,0,0,0,0,0,0,3,0,0,3,1,0,1,1,0,1,0,50,33,67,50,67,33,0
Portugal National Team,Portugal,2024/2025,Portugal,10,5,5,0,6,4,2,3,1,2,1,0,1,2.1,2.6,1.6,1,0,0,2,22,11,11,33,23,10,16,6,7,4,9,2,41,28,75,82,64,113,1,0,1,8,5,3,2,0,2,4,2,2,64,34,30,23,12,11,57,56,58,125,71,54,55,33,22,70,38,32,125,63,62,7,4,3,4,4,0,3,0,3,4,2,2,4,1,3,2,2,0,1.6,1.4,1.8,3.3,4.6,2,2.2,3.2,1.2,1.1,1.4,0.8,1.1,1.6,0.6,0.7,0.8,0.6,0.4,0.8,0,9,8,7,4,2,2,5,5,5,3,2,2,4,3,2,1,0,0,1,2,3,6,8,8,0,0,0,2,3,3,1,2,3,4,5,5,90,80,70,40,20,20,100,100,100,60,40,40,80,60,40,20,0,0,10,20,30,60,80,80,0,0,0,40,60,60,20,40,60,80,100,100,6,3,2,4,2,2,2,1,0,60,30,20,80,40,40,40,20,0,60,80,40,9,10,0,20,80,100,60,20,0,40,40,40,40,7,2,5,70,40,100,5,2,3,50,40,60,2,2,0,20,40,0,40,40,40,40,20,60,20,40,0,6.40,6.80,6.00,2.3,2.4,2.20,100,70,70,70,60,50,30,20,1.63,1.83,1.42,1.33,1.25,1.42,120,1,0,2,4,0,2,3,3,5,1,0,1,0,3,1,1,3,1,30,20,40,10,0,20,20
Norway National Team,Norway,2024/2025,Norway,6,3,3,0,4,3,1,1,0,1,1,0,1,2.17,3,1.33,1,0,0,15,15,7,8,22,11,11,10,5,1,6,9,-1,36,27,54,77,273,45,3,2,1,3,1,2,1,0,1,4,3,1,36,20,16,6,1,5,53,53,54,74,45,29,37,27,10,37,18,19,46,19,27,8,5,3,3,1,2,5,4,1,3,2,1,3,1,2,0,0,0,2,2.33,1.67,3.67,3.67,3.67,2.5,3.33,1.67,1.17,0.33,2,1.83,2,1.67,1.33,1.67,1,0.5,0.33,0.67,5,5,5,3,3,1,3,3,3,1,1,0,2,2,2,2,2,1,1,1,1,3,3,5,0,0,0,2,2,3,1,1,1,1,1,2,83,83,83,50,50,17,100,100,100,33,33,0,67,67,67,67,67,33,17,17,17,50,50,83,0,0,0,67,67,100,33,33,33,33,33,67,5,4,2,3,2,1,2,2,1,83,67,33,100,67,33,67,67,33,67,100,33,53,50,67,33,50,33,67,17,0,33,67,100,33,3,2,1,50,67,33,1,0,1,17,0,33,3,1,2,50,33,67,50,67,33,50,33,67,0,0,0,6.00,6.67,5.33,1,0.33,1.67,50,50,33,33,33,33,33,17,1.60,1.94,1.26,0.93,0.79,1.06,150,3,0,1,2,2,2,1,3,1,1,0,1,1,1,1,1,1,0,17,0,33,17,0,33,0
Romania National Team,Romania,2024/2025,Romania,6,3,3,0,6,3,3,0,0,0,0,0,0,3,3,3,1,0,0,7,18,3,15,21,12,9,10,8,2,1,8,7,30,27,34,180,134,273,3,1,2,3,2,1,0,0,0,5,3,2,33,14,19,14,8,6,53,55,51,65,28,37,36,15,21,29,13,16,74,41,33,8,3,5,2,1,1,6,2,4,3,1,2,2,1,1,0,0,0,2.2,2,2.33,3.5,4,3,3,3.33,2.67,0.5,0.67,0.33,2,2,2,1.6,1.5,1.67,0.4,0.5,0.33,6,6,6,2,1,0,3,3,3,2,1,0,3,3,3,0,0,0,0,0,0,4,5,6,0,0,0,1,2,3,0,0,0,3,3,3,100,100,100,33,17,0,100,100,100,67,33,0,100,100,100,0,0,0,0,0,0,67,83,100,0,0,0,33,67,100,0,0,0,100,100,100,5,4,1,2,2,0,3,2,1,100,80,20,100,100,0,100,67,33,100,100,100,-12,50,33,67,50,67,33,0,0,0,83,100,67,3,1,2,60,50,67,0,0,0,0,0,0,2,1,1,40,50,33,60,50,67,40,50,33,0,0,0,5.50,4.67,6.33,2.33,2.67,2.00,100,67,67,33,17,17,0,0,1.42,1.28,1.57,1.18,1.24,1.13,100,2,2,1,2,1,1,1,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Northern Ireland National Team,Northern Ireland,2024/2025,Northern Ireland,6,3,3,0,3,3,0,2,0,2,1,0,1,1.83,3,0.67,1,0,0,23,11,3,8,14,9,5,9,2,0,3,9,-1,49,30,134,180,0,90,4,3,1,1,0,1,2,0,2,4,3,1,40,24,16,11,4,7,50,46,53,59,32,27,28,13,15,31,19,12,88,42,46,6,5,1,1,0,1,5,5,0,3,2,1,2,1,1,1,0,1,1.83,2.33,1.33,2.33,3,1.67,1.83,3,0.67,0.5,0,1,1.17,1.67,0.67,1,1.67,0.33,0.17,0,0.33,5,4,2,2,1,0,3,3,1,1,1,0,2,1,1,1,0,0,1,2,4,4,5,6,0,0,2,2,2,3,1,2,2,2,3,3,83,67,33,33,17,0,100,100,33,33,33,0,67,33,33,33,0,0,17,33,67,67,83,100,0,0,67,67,67,100,33,67,67,67,100,100,4,2,1,2,2,1,2,0,0,67,33,17,67,67,33,67,0,0,50,100,0,82,67,100,33,17,0,33,33,0,67,67,100,33,5,3,2,83,100,67,3,1,2,50,33,67,0,0,0,0,0,0,50,67,33,33,33,33,17,0,33,6.67,8.00,5.33,1.83,1.33,2.33,67,67,67,50,33,17,0,0,1.25,1.29,1.21,0.61,0.48,0.73,83,0,4,1,1,2,0,1,0,2,0,0,0,1,0,0,0,2,0,33,0,67,17,0,33,0
Sweden National Team,Sweden,2024/2025,Sweden,6,3,3,0,5,3,2,1,0,1,0,0,0,2.67,3,2.33,1,0,0,10,19,4,15,23,12,11,11,8,1,3,10,5,28,25,34,134,273,90,3,2,1,3,1,2,0,0,0,6,3,3,55,31,24,11,4,7,65,67,63,106,56,50,62,33,29,44,23,21,82,31,51,11,7,4,2,1,1,9,6,3,4,2,2,2,1,1,0,0,0,2.33,2.33,2.33,3.83,4,3.67,3.17,3.67,2.67,0.67,0.33,1,2.17,2.67,1.67,1.83,2.33,1.33,0.33,0.33,0.33,6,6,6,3,1,1,3,3,3,1,1,1,3,3,3,2,0,0,0,0,0,3,5,5,0,0,0,2,2,2,0,0,0,1,3,3,100,100,100,50,17,17,100,100,100,33,33,33,100,100,100,67,0,0,0,0,0,50,83,83,0,0,0,67,67,67,0,0,0,33,100,100,5,5,3,3,3,2,2,2,1,83,83,50,100,100,67,67,67,33,83,100,67,34,50,67,33,50,33,67,0,0,0,100,100,100,4,2,2,67,67,67,1,0,1,17,0,33,2,1,1,33,33,33,67,67,67,33,33,33,0,0,0,9.17,10.33,8.00,1.83,1.33,2.33,100,100,83,83,67,50,33,17,2.45,2.61,2.28,0.82,0.62,1.01,167,2,0,4,4,2,2,3,2,0,0,1,0,0,1,0,0,1,1,17,0,33,0,0,0,0
Ukraine National Team,Ukraine,2024/2025,Ukraine,8,4,4,0,3,2,1,2,1,1,3,1,2,1.38,1.75,1,2,0,0,21,11,12,-1,23,10,13,6,5,4,8,2,-3,65,60,72,60,90,45,1,1,0,6,3,3,1,0,1,4,2,2,34,18,16,16,5,11,47,50,44,77,39,38,32,15,17,45,24,21,102,43,59,5,1,4,4,2,2,1,-1,2,3,1,2,2,1,1,3,2,1,1.38,1,1.75,2.88,2.5,3.25,1.38,1.5,1.25,1.5,1,2,1.13,0.75,1.5,0.63,0.25,1,0.5,0.5,0.5,8,7,5,2,1,0,4,3,2,1,0,0,4,4,3,1,1,0,0,1,3,6,7,8,0,1,2,3,4,4,0,0,1,3,3,4,100,88,63,25,13,0,100,75,50,25,0,0,100,100,75,25,25,0,0,12,37,75,87,100,0,25,50,75,100,100,0,0,25,75,75,100,6,2,1,3,0,0,3,2,1,75,25,13,75,0,0,75,50,25,38,50,25,21,13,25,0,75,75,75,13,0,25,50,50,50,5,2,3,63,50,75,4,3,1,50,75,25,1,0,1,13,0,25,38,25,50,25,25,25,38,50,25,4.25,4.50,4.00,2,1.25,2.75,100,88,63,50,38,25,0,0,1.15,1.18,1.12,1.43,1.36,1.51,125,3,0,0,2,1,1,1,2,1,0,1,1,1,1,1,2,4,1,25,25,25,38,25,50,0
Moldova National Team,Moldova,2024/2025,Moldova,4,2,2,0,3,2,1,0,0,0,1,0,1,2.25,3,1.5,1,0,0,28,5,1,4,6,4,2,4,1,0,1,4,0,72,45,180,360,0,180,3,2,1,0,0,0,1,0,1,3,2,1,12,5,7,13,6,7,54,57,51,34,17,17,13,6,7,21,11,10,78,31,47,3,3,0,0,0,0,3,3,0,2,2,0,2,0,2,0,0,0,2,3,1,1.5,2,1,1.25,2,0.5,0.25,0,0.5,0.75,1.5,0,0.75,1.5,0,0,0,0,4,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,4,4,4,4,0,0,2,2,2,2,0,2,2,2,2,2,100,50,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,50,100,100,100,100,0,0,100,100,100,100,0,100,100,100,100,100,2,1,0,2,1,0,0,0,0,50,25,0,100,50,0,0,0,0,75,100,50,80,75,100,50,0,0,0,25,0,50,75,100,50,4,2,2,100,100,100,2,0,2,50,0,100,0,0,0,0,0,0,50,100,0,50,0,100,0,0,0,3.00,2.50,3.50,3.25,3,3.50,50,0,0,0,0,0,0,0,1.14,1.12,1.16,0.82,0.64,0.99,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,25,0,50,0
Latvia National Team,Latvia,2024/2025,Latvia,6,3,3,0,1,1,0,1,0,1,4,2,2,0.67,1,0.33,4,0,0,43,4,11,-7,15,7,8,2,2,5,6,-3,-4,134,134,134,49,54,45,1,1,0,3,1,2,2,1,1,1,1,0,17,11,6,9,3,6,44,50,38,39,22,17,14,8,6,25,14,11,64,25,39,1,0,1,4,1,3,-3,-1,-2,0,0,0,3,2,1,3,1,2,0.5,0.67,0.33,2.5,2.33,2.67,0.67,0.67,0.67,1.83,1.67,2,0.83,0.33,1.33,0.17,0,0.33,0.67,0.33,1,6,4,3,1,1,0,3,2,2,0,0,0,3,2,1,1,1,0,0,2,3,5,5,6,0,1,1,3,3,3,0,1,2,2,2,3,100,67,50,17,17,0,100,67,67,0,0,0,100,67,33,33,33,0,0,33,50,83,83,100,0,33,33,100,100,100,0,33,67,67,67,100,3,1,1,1,0,0,2,1,1,50,17,17,33,0,0,67,33,33,17,33,0,5,17,33,0,50,33,67,33,33,33,17,33,0,3,2,1,50,67,33,5,3,2,83,100,67,1,0,1,17,0,33,0,0,0,50,67,33,50,33,67,2.83,3.67,2.00,1.5,1,2.00,83,50,50,17,17,0,0,0,0.85,1.02,0.68,1.36,1.24,1.49,33,1,0,0,0,0,0,3,0,0,1,0,0,3,2,1,1,1,2,17,0,33,67,67,67,0
Liechtenstein National Team,Liechtenstein,2024/2025,Liechtenstein,4,2,2,0,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,3,0,0,48,3,6,-3,9,4,5,1,2,3,3,-2,-1,120,180,90,60,60,60,1,1,0,2,1,1,2,1,1,1,1,0,9,4,5,16,6,10,58,59,58,25,13,12,9,5,4,16,8,8,77,32,45,1,1,0,1,0,1,0,1,-1,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2.25,2,2.5,0.75,0.5,1,1.5,1.5,1.5,0.5,0.5,0.5,0.25,0.5,0,0.25,0,0.5,3,2,2,2,0,0,1,1,1,1,0,0,2,1,1,1,0,0,1,2,2,2,4,4,1,1,1,1,2,2,0,1,1,1,2,2,75,50,50,50,0,0,50,50,50,50,0,0,100,50,50,50,0,0,25,50,50,50,100,100,50,50,50,50,100,100,0,50,50,50,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,0,0,0,0,25,50,0,50,50,50,50,50,50,25,50,0,3,2,1,75,100,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,50,50,50,25,0,50,2.25,2.00,2.50,4,3,5.00,50,25,25,25,0,0,0,0,0.85,0.84,0.87,1.02,1.06,0.98,50,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,50,50,50,50,50,50,0
Poland National Team,Poland,2024/2025,Poland,6,3,3,0,1,0,1,1,1,0,4,2,2,0.67,0.33,1,4,0,0,44,9,16,-7,25,13,12,5,4,8,8,-3,-4,60,54,68,34,34,34,0,0,0,5,3,2,1,0,1,2,1,1,22,13,9,12,7,5,40,42,38,61,37,24,26,16,10,35,21,14,80,39,41,4,2,2,6,6,0,-2,-4,2,1,0,1,2,0,2,3,3,0,0.83,0,1.67,4.17,4.33,4,1.5,1.67,1.33,2.67,2.67,2.67,1.67,2.67,0.67,0.67,0.67,0.67,1,2,0,6,5,5,4,3,2,3,3,3,2,1,1,3,2,2,2,2,1,0,1,1,2,3,4,0,0,0,1,2,2,0,1,1,1,1,2,100,83,83,67,50,33,100,100,100,67,33,33,100,67,67,67,67,33,0,17,17,33,50,67,0,0,0,33,67,67,0,33,33,33,33,67,4,3,1,3,2,1,1,1,0,67,50,17,100,67,33,33,33,0,17,0,33,0,0,0,0,83,100,67,17,0,33,33,33,33,3,0,3,50,0,100,4,2,2,67,67,67,1,1,0,17,33,0,17,0,33,33,0,67,50,100,0,3.67,4.33,3.00,2,2.33,1.67,67,50,50,33,17,0,0,0,1.22,1.48,0.95,1.68,1.61,1.75,167,2,0,0,0,2,1,1,1,2,1,1,3,1,1,2,0,3,4,17,33,0,67,67,67,0
Slovenia National Team,Slovenia,2024/2025,Slovenia,8,4,4,0,3,2,1,3,1,2,2,1,1,1.5,1.75,1.25,3,0,0,18,8,9,-1,17,11,6,6,2,5,4,1,-2,90,60,180,80,72,90,4,2,2,3,2,1,2,0,2,4,3,1,23,15,8,14,9,5,44,45,42,74,45,29,32,20,12,42,25,17,91,50,41,4,4,0,5,3,2,-1,1,-2,1,1,0,4,2,2,3,1,2,0.88,1.25,0.5,2.13,2.75,1.5,1,1.5,0.5,1.13,1.25,1,1.13,1.75,0.5,0.5,1,0,0.63,0.75,0.5,7,5,3,1,1,0,4,3,2,1,1,0,3,2,1,0,0,0,1,3,5,7,7,8,0,1,2,3,3,4,1,2,3,4,4,4,88,63,38,13,13,0,100,75,50,25,25,0,75,50,25,0,0,0,12,37,62,87,87,100,0,25,50,75,75,100,25,50,75,100,100,100,5,3,1,3,3,1,2,0,0,63,38,13,75,75,25,50,0,0,38,50,25,20,50,50,50,38,50,25,25,0,50,50,75,25,4,2,2,50,50,50,5,1,4,63,25,100,2,2,0,25,50,0,13,25,0,50,50,50,38,25,50,2.88,3.75,2.00,1.75,2.25,1.25,50,50,38,25,25,13,13,0,1.12,1.31,0.92,1.53,1.51,1.56,38,0,1,3,0,0,1,1,0,1,2,0,2,0,1,2,1,0,1,38,25,50,25,25,25,0
