team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Jordan National Team,Jordan,2025,Jordan,9,3,6,0,1,1,0,4,2,2,4,0,4,0.78,1.67,0.33,0,0,0,35,8,11,-3,19,5,14,4,4,1,10,3,-6,101,68,134,74,273,54,4,2,2,3,1,2,5,1,4,3,1,2,18,5,13,6,1,5,43,50,41,68,13,55,35,11,24,33,2,31,44,26,18,3,1,2,3,0,3,0,1,-1,1,1,0,6,1,5,1,0,1,1.13,2,0.83,2.11,1.67,2.33,0.89,1.33,0.67,1.22,0.33,1.67,0.75,0.5,0.83,0.38,0.5,0.33,0.38,0,0.5,6,5,3,2,2,1,2,2,1,0,0,0,4,3,2,2,2,1,3,4,6,7,7,8,1,1,2,3,3,3,2,3,4,4,4,5,67,56,33,22,22,11,67,67,33,0,0,0,67,50,33,33,33,17,33,44,67,78,78,89,33,33,67,100,100,100,33,50,67,67,67,83,4,2,0,1,0,0,3,2,0,50,25,0,50,0,0,50,33,0,11,33,0,61,44,67,33,33,33,33,56,33,67,33,33,33,5,2,3,63,100,50,5,1,4,63,50,67,2,0,2,25,0,33,13,50,0,75,50,83,13,0,17,2.57,2.50,2.60,0.86,0.5,1.00,86,56,56,0,0,0,0,0,1.31,1.08,1.40,1.48,1.25,1.58,56,1,0,2,0,2,0,0,0,2,0,1,0,1,1,0,2,3,2,44,67,33,44,0,67,0
United States Men's National Team,USMNT,2025,USA,10,10,0,0,6,6,0,1,1,0,3,3,0,1.9,1.9,0,0,0,0,2,19,13,6,32,32,0,19,0,13,0,6,0,47,47,0,69,69,0,2,2,0,6,6,0,2,2,0,6,6,0,49,49,0,19,19,0,58,58,0,122,122,0,54,54,0,68,68,0,116,116,0,11,11,0,12,12,0,-1,-1,0,4,4,0,2,2,0,4,4,0,1.4,1.4,0,3.2,3.2,0,1.9,1.9,0,1.3,1.3,0,2.3,2.3,0,1.1,1.1,0,1.2,1.2,0,10,10,7,3,1,1,10,10,7,3,1,1,0,0,0,0,0,0,0,0,3,7,9,9,0,0,3,7,9,9,0,0,0,0,0,0,100,100,70,30,10,10,100,100,70,30,10,10,0,0,0,0,0,0,0,0,30,70,90,90,0,0,30,70,90,90,0,0,0,0,0,0,10,7,3,10,7,3,0,0,0,100,70,30,100,70,30,0,0,0,60,60,0,0,20,20,0,60,60,0,20,20,0,60,60,0,3,3,0,30,30,0,3,3,0,30,30,0,4,4,0,40,40,0,40,40,0,20,20,0,40,40,0,4.90,4.90,0.00,1.9,1.9,0.00,90,90,80,50,40,40,10,0,1.47,1.57,0.00,1.07,1.17,0.00,110,2,2,2,4,1,1,3,3,1,1,3,4,2,2,0,1,0,0,10,10,0,30,30,0,0
Kenya National Team,Kenya,2025,Kenya,6,4,2,0,2,1,1,1,1,0,3,2,1,1.17,1,1.5,0,0,0,33,4,11,-7,15,12,3,2,2,10,1,-8,1,134,180,90,49,36,180,2,1,1,1,1,0,4,3,1,2,1,1,0,0,0,2,2,0,50,50,0,2,2,0,2,2,0,0,0,0,0,0,0,2,2,0,7,7,0,-5,-5,0,1,1,0,3,1,2,2,2,0,1,1,1,2.5,3,1.5,0.67,0.5,1,1.83,2.5,0.5,1.5,2.25,0,0.33,0.5,0,1.17,1.75,0,5,3,2,1,1,1,3,2,2,1,1,1,2,1,0,0,0,0,1,3,4,5,5,5,1,2,2,3,3,3,0,1,2,2,2,2,83,50,33,17,17,17,75,50,50,25,25,25,100,50,0,0,0,0,17,50,67,83,83,83,25,50,50,75,75,75,0,50,100,100,100,100,3,2,1,3,2,1,0,0,0,50,33,17,75,50,25,0,0,0,33,25,50,-31,33,25,50,17,25,0,67,75,50,33,25,50,4,2,2,67,50,100,5,3,2,83,75,100,0,0,0,0,0,0,17,25,0,50,25,100,33,50,0,0.00,0.00,0.00,1,1,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,83,0,1,0,0,1,1,1,0,0,1,3,0,2,2,1,0,1,1,17,25,0,50,50,50,0
Burkina Faso National Team,Burkina,2025,Burkina Faso,5,2,3,0,4,2,2,0,0,0,1,0,1,2.4,3,2,0,0,0,8,10,4,6,14,8,6,6,4,2,2,4,2,45,30,68,113,90,134,3,1,2,1,1,0,1,0,1,3,1,2,9,6,3,3,0,3,56,61,50,24,13,11,12,9,3,12,4,8,0,0,0,6,4,2,1,1,0,5,3,2,3,2,1,2,0,2,0,0,0,2.2,3,1.67,2.8,4,2,2,3,1.33,0.8,1,0.67,1.4,2.5,0.67,1.2,2,0.67,0.2,0.5,0,5,5,2,1,1,0,2,2,2,1,1,0,3,3,0,0,0,0,0,0,3,4,4,5,0,0,0,1,1,2,0,0,3,3,3,3,100,100,40,20,20,0,100,100,100,50,50,0,100,100,0,0,0,0,0,0,60,80,80,100,0,0,0,50,50,100,0,0,100,100,100,100,3,3,1,2,2,1,1,1,0,60,60,20,100,100,50,33,33,0,80,100,67,13,60,50,67,20,50,0,20,0,33,60,50,67,4,1,3,80,50,100,2,0,2,40,0,67,1,1,0,20,50,0,60,100,33,40,0,67,0,0,0,4.50,6.00,3.00,1.5,0,1.50,50,50,0,0,0,0,0,0,1.57,1.84,1.29,1.25,1.22,1.27,60,0,0,3,1,2,2,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,20,0,33,0
Tanzania National Team,Tanzania,2025,Tanzania,7,4,3,0,2,2,0,1,0,1,4,2,2,1,1.5,0.33,0,0,0,44,6,11,-5,17,8,9,3,3,5,6,-2,-3,105,120,90,57,72,45,2,1,1,2,1,1,4,2,2,2,1,1,9,0,9,3,0,3,67,100,44,27,3,24,17,3,14,10,0,10,8,0,8,3,1,2,3,1,2,0,0,0,2,1,1,3,2,1,2,1,1,1.29,1.25,1.33,2.43,2,3,0.86,0.75,1,1.57,1.25,2,0.86,0.5,1.33,0.43,0.25,0.67,0.43,0.25,0.67,6,5,2,1,1,1,4,3,1,0,0,0,2,2,1,1,1,1,1,2,5,6,6,6,0,1,3,4,4,4,1,1,2,2,2,2,86,71,29,14,14,14,100,75,25,0,0,0,67,67,33,33,33,33,14,29,71,86,86,86,0,25,75,100,100,100,33,33,67,67,67,67,4,2,0,2,0,0,2,2,0,57,29,0,50,0,0,67,67,0,29,50,0,4,29,25,33,29,25,33,57,50,67,29,25,33,5,3,2,71,75,67,5,3,2,71,75,67,0,0,0,0,0,0,29,25,33,43,50,33,29,25,33,3.00,0.00,3.00,1,0,1.50,33,33,33,33,33,33,33,0,0.82,0.00,1.15,1.14,0.00,1.48,100,1,1,0,1,0,2,0,0,1,1,1,1,0,1,3,4,0,0,14,0,33,57,50,67,0
Jamaica National Team,Jamaica,2025,Jamaica,3,3,0,0,1,1,0,2,2,0,0,0,0,1.67,1.67,0,0,0,0,63,4,3,1,7,7,0,4,0,3,0,1,0,68,68,0,90,90,0,1,1,0,2,2,0,0,0,0,1,1,0,9,9,0,4,4,0,57,57,0,23,23,0,13,13,0,10,10,0,0,0,0,1,1,0,2,2,0,-1,-1,0,0,0,0,2,2,0,1,1,0,0.67,0.67,0,2.33,2.33,0,1.33,1.33,0,1,1,0,1,1,0,0.33,0.33,0,0.67,0.67,0,3,2,1,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,1,2,2,3,3,0,1,2,2,3,3,0,0,0,0,0,0,100,67,33,33,0,0,100,67,33,33,0,0,0,0,0,0,0,0,0,33,67,67,100,100,0,33,67,67,100,100,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,67,33,0,67,33,0,0,0,0,33,33,0,0,33,33,0,67,67,0,0,0,0,33,33,0,1,1,0,33,33,0,2,2,0,67,67,0,1,1,0,33,33,0,0,0,0,67,67,0,33,33,0,3.00,3.00,0.00,4,4,0.00,67,67,33,33,33,0,0,0,0.80,1.14,0.00,0.55,0.88,0.00,33,0,1,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,0,67,67,0,0,0,0,0
Trinidad and Tobago National Team,Trinidad and Tobago,2025,Trinidad and Tobago,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,0,0,0,156,1,6,-5,7,4,3,0,1,4,2,-4,-1,273,0,180,45,23,90,0,0,0,1,0,1,2,1,1,1,0,1,5,0,5,1,1,0,38,14,50,13,5,8,2,1,1,11,4,7,0,0,0,1,0,1,3,3,0,-2,-3,1,1,0,1,1,0,1,1,1,0,1.33,0,2,2.33,4,1.5,0.33,0,0.5,2,4,1,1.33,3,0.5,0.33,0,0.5,1,3,0,3,2,1,1,0,0,1,1,1,1,0,0,2,1,0,0,0,0,0,1,2,2,3,3,0,0,0,0,1,1,0,1,2,2,2,2,100,67,33,33,0,0,100,100,100,100,0,0,100,50,0,0,0,0,0,33,67,67,100,100,0,0,0,0,100,100,0,50,100,100,100,100,2,1,1,1,1,1,1,0,0,67,33,33,100,100,100,50,0,0,0,0,0,-100,0,0,0,33,0,50,67,100,50,33,0,50,2,0,2,67,0,100,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,33,0,50,33,100,0,1.67,0.00,2.50,1,1,0.00,33,33,0,0,0,0,0,0,0.53,0.53,0.54,1.76,2.40,1.44,33,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,33,0,50,67,100,50,0
Chile National Team,Chile,2025,Chile,4,3,1,0,4,3,1,0,0,0,0,0,0,3,3,3,0,0,0,10,12,3,9,15,13,2,10,2,3,0,7,2,30,27,45,120,90,0,1,0,1,3,3,0,0,0,0,2,1,1,22,19,3,14,10,4,56,61,40,48,44,4,27,25,2,21,19,2,53,36,17,5,4,1,3,3,0,2,1,1,2,1,1,0,0,0,2,2,0,1.5,1,3,3.75,4.33,2,3,3.33,2,0.75,1,0,2,2.33,1,1.25,1.33,1,0.75,1,0,4,4,3,1,1,1,3,3,3,1,1,1,1,1,0,0,0,0,0,0,1,3,3,3,0,0,0,2,2,2,0,0,1,1,1,1,100,100,75,25,25,25,100,100,100,33,33,33,100,100,0,0,0,0,0,0,25,75,75,75,0,0,0,67,67,67,0,0,100,100,100,100,4,1,1,3,1,1,1,0,0,100,25,25,100,33,33,100,0,0,100,100,100,-11,25,0,100,75,100,0,0,0,0,50,33,100,1,0,1,25,0,100,2,2,0,50,67,0,1,1,0,25,33,0,50,33,100,0,0,0,50,67,0,5.50,6.33,3.00,3.5,3.33,4.00,75,75,50,25,25,25,25,25,1.40,1.72,0.44,1.11,1.01,1.40,125,2,0,1,1,1,3,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25
Cyprus National Team,Cyprus,2025,Cyprus,2,1,1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,0,0,0,142,4,6,-2,10,6,4,2,2,4,2,-2,0,45,45,45,30,23,45,0,0,0,2,1,1,0,0,0,1,1,0,11,5,6,6,4,2,57,46,67,10,8,2,7,4,3,3,4,-1,33,18,15,2,1,1,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,5,6,4,2,2,2,3,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,100,100,2,2,0,1,1,0,1,1,0,100,100,0,100,100,0,100,100,0,0,0,0,-17,0,0,0,100,100,100,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,100,100,100,0,0,0,100,100,100,0,0,0,5.50,5.00,6.00,3,4,2.00,100,100,100,50,50,0,0,0,0.93,1.20,0.64,1.34,1.83,0.83,200,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,2,50,0,100,50,100,0,0
Estonia National Team,Estonia,2025,Estonia,2,1,1,0,1,0,1,1,1,0,0,0,0,2,1,3,0,0,0,71,4,2,2,6,0,6,0,4,0,2,0,2,45,0,23,90,0,45,1,1,0,1,0,1,1,1,0,0,0,0,14,8,6,4,1,3,62,69,54,30,17,13,14,6,8,16,11,5,21,10,11,1,0,1,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,3,0,6,2,0,4,1,0,2,1,0,2,0.5,0,1,0.5,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0,100,100,100,100,100,100,50,50,50,50,50,50,100,100,100,100,100,100,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,50,50,0,0,0,0,100,100,0,50,0,100,0,50,100,0,50,0,100,50,100,0,0,0,0,1,1,0,50,100,0,1,1,0,50,100,0,1,0,1,50,0,100,0,0,0,100,100,100,0,0,0,7.00,8.00,6.00,2,1,3.00,100,100,100,50,50,0,0,0,2.15,2.47,1.83,0.97,0.73,1.20,150,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,50,100,0,0,0,0,0
